# Motion State
# Angle Units : degrees
# Time        	centreOfRotation	centreOfMass	rotation	velocity	omega
8.5           	(0.000000e+00 2.005999e-08 0.000000e+00)	(0.000000e+00 2.005999e-08 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 -3.461936e-08 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
8.6           	(0.000000e+00 1.642657e-08 0.000000e+00)	(0.000000e+00 1.642657e-08 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 -3.774995e-08 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
8.7           	(0.000000e+00 1.251000e-08 0.000000e+00)	(0.000000e+00 1.251000e-08 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 -4.025795e-08 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
8.8           	(0.000000e+00 8.374976e-09 0.000000e+00)	(0.000000e+00 8.374976e-09 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 -4.210625e-08 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
8.9           	(0.000000e+00 4.088754e-09 0.000000e+00)	(0.000000e+00 4.088754e-09 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 -4.326743e-08 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
9             	(0.000000e+00 -2.785108e-10 0.000000e+00)	(0.000000e+00 -2.785108e-10 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 -4.372144e-08 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
9.1           	(0.000000e+00 -4.655535e-09 0.000000e+00)	(0.000000e+00 -4.655535e-09 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 -4.346282e-08 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
9.2           	(0.000000e+00 -8.971075e-09 0.000000e+00)	(0.000000e+00 -8.971075e-09 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 -4.250220e-08 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
9.3           	(0.000000e+00 -1.315597e-08 0.000000e+00)	(0.000000e+00 -1.315597e-08 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 -4.085724e-08 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
9.4           	(0.000000e+00 -1.714252e-08 0.000000e+00)	(0.000000e+00 -1.714252e-08 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 -3.855175e-08 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
9.5           	(0.000000e+00 -2.086632e-08 0.000000e+00)	(0.000000e+00 -2.086632e-08 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 -3.562249e-08 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
9.6           	(0.000000e+00 -2.426702e-08 0.000000e+00)	(0.000000e+00 -2.426702e-08 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 -3.211640e-08 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
9.7           	(0.000000e+00 -2.728960e-08 0.000000e+00)	(0.000000e+00 -2.728960e-08 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 -2.809311e-08 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
